workerId,opName,nanoTime,numTuples,destWorkerId
3,Shuffle(S),2784299185,154,4
3,Shuffle(S),2844379766,483,6
3,Shuffle(S),2870041151,3800,5
3,Shuffle(S),2908268807,457,7
3,Shuffle(S),2967638532,465,8
3,Shuffle(S),3015787798,484,2
3,Shuffle(S),3072162121,3264,1
3,Shuffle(S),3108337933,587,3
3,Shuffle(S),3145728181,460,4
3,Shuffle(S),3192041275,1315,6
3,Shuffle(S),3220097732,3884,5
3,Shuffle(S),3259638061,510,7
3,Shuffle(S),3330870457,569,8
3,Shuffle(S),3364802097,524,2
3,Shuffle(S),3402867420,2022,1
3,Shuffle(S),3436743669,659,3
3,Shuffle(S),3474193238,517,4
3,Shuffle(S),3497436621,308,6
3,Shuffle(S),3529477235,2400,5
3,Shuffle(S),3563226361,383,7
3,Shuffle(S),3601365248,300,8
3,Shuffle(S),3639466067,285,2
3,Shuffle(S),3677834433,328,1
3,Shuffle(S),3711449027,625,3
3,Shuffle(S),3757885475,371,4
5,Shuffle(S),254980058,10000,1
5,Shuffle(S),311021271,166,6
5,Shuffle(S),333296041,183,5
5,Shuffle(S),366568124,154,7
5,Shuffle(S),399901777,159,8
5,Shuffle(S),433253271,181,2
5,Shuffle(S),466697947,8878,1
5,Shuffle(S),499871059,164,3
5,Shuffle(S),516651962,115,4
5,Shuffle(S),562550850,294,6
5,Shuffle(S),583472146,268,5
5,Shuffle(S),616714772,278,7
5,Shuffle(S),650030379,340,8
5,Shuffle(S),683358858,327,2
5,Shuffle(S),716722350,7834,1
5,Shuffle(S),750037756,333,3
5,Shuffle(S),783416245,326,4
5,Shuffle(S),836199252,380,6
5,Shuffle(S),866862551,1076,5
5,Shuffle(S),908651161,289,7
5,Shuffle(S),942173247,287,8
5,Shuffle(S),983838235,273,2
5,Shuffle(S),1017173262,7101,1
5,Shuffle(S),1050628292,332,3
5,Shuffle(S),1100921650,262,4
5,Shuffle(S),1146023171,150,6
5,Shuffle(S),1167692496,2465,5
5,Shuffle(S),1201188646,171,7
5,Shuffle(S),1234461505,168,8
5,Shuffle(S),1284538020,150,2
5,Shuffle(S),1317848412,6602,1
5,Shuffle(S),1351130748,157,3
5,Shuffle(S),1384540918,137,4
5,Shuffle(S),1428879013,575,6
5,Shuffle(S),1451201383,2133,5
5,Shuffle(S),1484692822,628,7
5,Shuffle(S),1517902537,557,8
5,Shuffle(S),1551303422,772,2
5,Shuffle(S),1584564445,4072,1
5,Shuffle(S),1618186019,685,3
5,Shuffle(S),1651333731,578,4
5,Shuffle(S),1696223521,171,6
5,Shuffle(S),1717978788,3215,5
5,Shuffle(S),1751327678,142,7
5,Shuffle(S),1784656730,123,8
5,Shuffle(S),1817999391,155,2
5,Shuffle(S),1851194217,5833,1
5,Shuffle(S),1884545410,211,3
5,Shuffle(S),1918089479,150,4
5,Shuffle(S),1937222798,412,6
5,Shuffle(S),1968074470,1928,5
5,Shuffle(S),2001378725,392,7
5,Shuffle(S),2035915070,458,8
5,Shuffle(S),2070235099,431,2
5,Shuffle(S),2105913841,5571,1
5,Shuffle(S),2159333025,419,3
5,Shuffle(S),2202187499,389,4
5,Shuffle(S),2228395979,293,6
5,Shuffle(S),2251050234,4141,5
5,Shuffle(S),2284381596,347,7
5,Shuffle(S),2317878227,301,8
5,Shuffle(S),2351186049,314,2
5,Shuffle(S),2384520708,4002,1
5,Shuffle(S),2417865464,287,3
5,Shuffle(S),2451170378,315,4
5,Shuffle(S),2495177661,153,6
5,Shuffle(S),2517836584,5773,5
5,Shuffle(S),2589926943,182,7
5,Shuffle(S),2662943388,157,8
5,Shuffle(S),2739725660,155,2
5,Shuffle(S),2816528569,3096,1
5,Shuffle(S),2872506502,311,3
5,Shuffle(S),2949269131,173,4
5,Shuffle(S),3045646168,455,6
5,Shuffle(S),3075782559,3794,5
5,Shuffle(S),3112142869,512,7
5,Shuffle(S),3147653618,463,8
5,Shuffle(S),3183978152,454,2
5,Shuffle(S),3223048876,3289,1
5,Shuffle(S),3261574048,573,3
5,Shuffle(S),3324743162,460,4
5,Shuffle(S),3367496560,1329,6
5,Shuffle(S),3396603796,3843,5
5,Shuffle(S),3430502416,559,7
5,Shuffle(S),3468101801,541,8
