workerId,opName,nanoTime,numTuples,eventType
5,GatherS,782173415,268,return
5,GatherR,782417615,-1,call
5,GatherR,782441420,-1,return
5,GatherS,782466046,-1,call
5,GatherS,782487532,-1,return
5,Join,782510380,-1,return
5,SendResult,782530690,-1,return
5,SendResult,799036443,-1,call
5,Join,799070742,-1,call
5,GatherR,799095718,-1,call
5,GatherR,799142360,1247,return
5,GatherS,800475381,-1,call
5,GatherS,800499551,-1,return
5,GatherR,800527306,-1,call
5,GatherR,800563063,1248,return
5,GatherS,801287162,-1,call
5,GatherS,801313002,-1,return
5,GatherR,801339400,-1,call
5,GatherR,801361508,-1,return
5,GatherS,801385624,-1,call
5,GatherS,801412562,-1,return
5,Join,801450077,-1,return
5,SendResult,801472357,-1,return
5,SendResult,801498576,-1,call
5,Join,801532936,-1,call
5,GatherR,801556388,-1,call
5,GatherR,801578791,-1,return
5,GatherS,801606674,-1,call
5,GatherS,801629231,-1,return
5,Join,801653020,-1,return
5,SendResult,801674380,-1,return
5,SendResult,835026846,-1,call
5,Join,835053200,-1,call
5,GatherR,835077593,-1,call
5,GatherR,835120199,1194,return
5,GatherS,835980342,-1,call
5,GatherS,836004380,-1,return
5,GatherR,836031880,-1,call
5,GatherR,836052792,-1,return
5,GatherS,836076082,-1,call
5,GatherS,836097009,-1,return
5,Join,836119937,-1,return
5,SendResult,836140554,-1,return
5,SendResult,884028804,-1,call
5,Join,884055886,-1,call
5,GatherR,884100070,-1,call
5,GatherR,884143586,1226,return
5,GatherS,884922827,-1,call
5,GatherS,884946555,-1,return
5,GatherR,884984149,-1,call
5,GatherR,885008231,-1,return
5,GatherS,885031648,-1,call
5,GatherS,885052268,-1,return
5,Join,885075444,-1,return
5,SendResult,885097397,-1,return
5,SendResult,952022040,-1,call
5,Join,952053199,-1,call
5,GatherR,952074985,-1,call
5,GatherR,952110282,1268,return
5,GatherS,952793315,-1,call
5,GatherS,952816102,-1,return
5,GatherR,952840425,-1,call
5,GatherR,952860701,-1,return
5,GatherS,952886155,-1,call
5,GatherS,952906167,-1,return
5,Join,952928221,-1,return
5,SendResult,952947714,-1,return
5,SendResult,960023180,-1,call
5,Join,960067576,-1,call
5,GatherR,960097217,-1,call
5,GatherR,960163929,1212,return
5,GatherS,960917269,-1,call
5,GatherS,960940515,-1,return
5,GatherR,960965189,-1,call
5,GatherR,960985141,-1,return
5,GatherS,961007144,-1,call
5,GatherS,961027032,-1,return
5,Join,961048989,-1,return
5,SendResult,961068341,-1,return
5,SendResult,968021305,-1,call
5,Join,968045633,-1,call
5,GatherR,968067009,-1,call
5,GatherR,968100027,1300,return
5,GatherS,970171201,-1,call
5,GatherS,970194728,-1,return
5,GatherR,970219548,-1,call
5,GatherR,970239642,-1,return
5,GatherS,970261402,-1,call
5,GatherS,970281342,-1,return
5,Join,970307463,-1,return
5,SendResult,970331863,-1,return
5,SendResult,977023043,-1,call
5,Join,977047256,-1,call
5,GatherR,977068475,-1,call
5,GatherR,977089342,-1,return
5,GatherS,977113465,-1,call
5,GatherS,977154506,1049,return
5,GatherR,977571556,-1,call
5,GatherR,977593909,-1,return
5,GatherS,977616861,-1,call
5,GatherS,977636706,-1,return
