time,value
1146033279,"[1, 2]"
1146559767,[1]
1146684831,[1]
1147023313,"[1, 4]"
1147419514,[1]
1148020002,"[1, 6]"
1149042608,[1]
1149068248,"[1, 6]"
1149341563,[1]
1149524875,[]
1150044878,[7]
1150517128,[]
1153019412,[8]
1153022195,[8]
1153430442,[]
1153450930,[]
1154024538,[2]
1154502170,[]
1155026143,[3]
1155026580,"[3, 4]"
1155513536,[4]
1155821210,[]
1155846252,[4]
1156016542,[]
1157037919,[6]
1157784706,[]
1162023492,[2]
1162033197,"[1, 2]"
1162506696,[1]
1163036444,"[1, 2]"
1163492247,[1]
1164183013,[]
1164207079,[1]
1164357747,[]
1165044671,[6]
1165700180,[]
1166022996,[6]
1166556126,[]
1167036647,[7]
1167040125,"[5, 7]"
1168167115,[7]
1169485068,[]
1169510128,[7]
1169664746,[]
1171028434,[3]
1173445026,[]
1173468869,[3]
1173611937,[]
1178033266,[8]
1178469371,[]
1180023334,[4]
1180441930,[]
1187049450,[2]
1187589808,[]
1190063293,[6]
1190854201,[]
1203033047,[8]
1203465231,[]
1205023514,[4]
1205024086,"[1, 4]"
1205421059,[1]
1206023044,[]
1210033456,[7]
1211016046,[]
1212038637,[2]
1212545335,[]
1214038941,[3]
1214974300,[]
1215026894,[6]
1215638810,[]
1218033834,[5]
1218999274,[]
1220036602,[8]
1222023383,"[4, 8]"
1222391816,[4]
1222422639,"[4, 8]"
1222570846,[4]
1223868085,[]
1223892549,[4]
1224043521,[]
1227021572,[5]
1228028890,[]
1229035990,[2]
1231843927,[]
1231869784,[2]
1232025846,"[2, 6]"
1232032143,[6]
1235659358,[]
1244033939,[5]
1245023877,"[1, 5]"
1245096872,[1]
1246095140,[]
1251023695,[7]
1252171173,[]
1253021187,[5]
1253956279,[]
1255030354,[3]
1256261106,[]
1259021893,[5]
1260378348,[]
1261022046,[8]
1262077041,[]
1264032260,[4]
1264966604,[]
1268035531,[5]
1269022854,[]
1271045524,[2]
1272352096,[]
1274037046,[6]
1275356187,[]
1278024318,[5]
1278997580,[]
1291061779,[5]
1292469368,[]
1294021934,[5]
1295226319,[]
1296025710,[1]
1297205045,[]
1302049349,[7]
1303022382,"[7, 8]"
1303268222,[8]
1303915461,[]
1305030359,[5]
1305035070,"[4, 5]"
1305036676,"[1, 4, 5]"
1305892056,"[1, 5]"
1305962739,[5]
1306028950,"[3, 5]"
1306073421,[3]
1307110113,[]
1310021813,[7]
1310028969,"[5, 7]"
1311043217,[5]
1311074254,[]
1312037937,[2]
1313047114,[]
1314022187,[3]
1315038594,"[3, 6]"
1316118026,[3]
1316864812,[]
1322024511,[1]
1323029188,[]
1327021729,[7]
1327907175,[]
1331024796,[3]
1332023497,"[1, 3]"
1332184597,[1]
1333030760,"[1, 5]"
1334099280,[5]
1334503776,[]
1335029977,[7]
1335386506,[]
1337023858,[1]
1337964077,[]
1339035847,[3]
1339392655,[]
1341024110,[7]
1342393458,[]
1346023330,[3]
1346024468,"[1, 3]"
1347048986,[1]
1348143069,[]
1350055830,[5]
1351022742,"[5, 7]"
1351416364,[5]
1353910227,[]
1353948661,[5]
1354032133,"[3, 5]"
1354034436,"[3, 5, 8]"
1354134113,"[3, 8]"
1354530741,[8]
1354932114,[]
1356022855,[4]
1356901687,[]
1357023059,[1]
1359022720,"[1, 7]"
1359393668,[1]
1362021877,"[1, 8]"
1362983156,[1]
1363022655,"[1, 2]"
1364010236,[1]
1364023724,"[1, 4]"
1364031358,"[1, 3, 4]"
1364457915,"[1, 4]"
1364914224,[1]
1365022942,"[1, 6]"
1366220958,[1]
1368049296,"[1, 7]"
1368739752,[1]
1371047735,"[1, 2]"
1372048716,"[1, 2, 3]"
1372526817,"[1, 2]"
1372978520,[1]
1374037502,"[1, 6]"
1376035155,"[1, 6, 7]"
1376295467,"[1, 7]"
1376420062,[1]
